model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 4}",2,0.48717948717948717,0.8636363636363636,0.7167919676810958,0.9749897955397231,0.6697832296500426,0.5054945054945055,0.8288288288288288,0.8040283774970761,0.989728686730828,0.8039736681897842,11.031325026000104
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 4}",3,0.38235294117647056,0.7222222222222222,0.7063891038019684,0.9790398918187966,0.6930921491138028,0.48868778280542985,0.8307692307692308,0.767127403645681,0.9868303047225618,0.7670307182293576,11.742102358000011
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 4}",4,0.2631578947368421,0.5263157894736842,0.505247092128501,0.955164283541223,0.46360578147199505,0.4745098039215686,0.8013245033112583,0.7535612759734355,0.9859854782700199,0.753478139692578,13.824534977999974
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 4}",5,0.3548387096774194,0.8461538461538461,0.6720977309311317,0.9761871798421708,0.6781380125662455,0.45733788395904434,0.7790697674418605,0.7349750225851579,0.9846285991831039,0.7348807426369707,15.084357893000288
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 125, 'random_state': 4}",1,0.43478260869565216,0.9090909090909091,0.80468242053936,0.9857327347641596,0.836498532910003,0.5534591194968553,0.8301886792452831,0.820814791795361,0.9897888692198091,0.8207956413104851,10.95552195900018
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 125, 'random_state': 4}",2,0.48717948717948717,0.8260869565217391,0.7141334111980191,0.9747671527700471,0.66601740822519,0.5054945054945055,0.8288288288288288,0.8092749431758451,0.9902261074637949,0.8092193919706749,13.274628288000258
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 125, 'random_state': 4}",3,0.38235294117647056,0.7222222222222222,0.7143072545985794,0.9788919878296148,0.7018617627170509,0.5067873303167421,0.8421052631578947,0.7723524964272938,0.9871072159648808,0.7722487660547482,14.519341838999935
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 125, 'random_state': 4}",4,0.2631578947368421,0.5,0.5095092131224769,0.9566093702464255,0.46745474807660353,0.49411764705882355,0.7875,0.760908814841936,0.986642113016942,0.7608560968119984,16.60936084700006
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 125, 'random_state': 4}",5,0.3548387096774194,0.8461538461538461,0.6862868443369206,0.977156306243943,0.6934533150827996,0.4539249146757679,0.7777777777777778,0.744663077271723,0.9850860522452687,0.7445899459850329,19.124485795000055
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.2, 'n_estimators': 50, 'random_state': 4}",1,0.4782608695652174,1.0,0.8099549681394211,0.9869934198388783,0.8408881450284612,0.5534591194968553,0.8712871287128713,0.819548175097532,0.9898131557359354,0.8193941020485822,4.211927965000086
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.2, 'n_estimators': 50, 'random_state': 4}",2,0.46153846153846156,0.72,0.7170576847065594,0.977086348287506,0.6715399306119395,0.554945054945055,0.808,0.7933684662307635,0.9888397350924119,0.79333045937517,5.315198661000068
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.2, 'n_estimators': 50, 'random_state': 4}",3,0.4117647058823529,0.7,0.6976415148925015,0.9765677822853279,0.685508543441371,0.5203619909502263,0.7666666666666667,0.7603973608903568,0.9858729037495354,0.7603634463496752,6.512883189000149
