model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time,n_estimators
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",3,0.7058823529411765,0.5,0.6841936706755691,0.9780679513184585,0.6705445009650497,1.0,0.7366666666666667,0.998483315603049,0.9999362040877462,0.9984772456094579,2.1747172810009943,371
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",4,0.7368421052631579,0.5283018867924528,0.614587770939314,0.9648996045025859,0.5790017936164934,1.0,0.6455696202531646,0.9933932438619879,0.999724999123084,0.993361361182357,3.1544490910000604,305
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",5,0.9032258064516129,0.5833333333333334,0.7643777114465025,0.9871706123955881,0.7692752527438642,1.0,0.804945054945055,0.999905842965157,0.999995653652616,0.9999058312076352,3.7222952880001685,532
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",1,0.5652173913043478,0.8666666666666667,0.8073397389088767,0.9864091999262037,0.8402911701959055,0.8742138364779874,0.9928571428571429,0.9896331212603131,0.9994890836607515,0.9896267426498175,0.9490486869999586,162
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",2,0.5384615384615384,0.8076923076923077,0.7924134748119307,0.9791457939070096,0.7619205016561571,0.8241758241758241,0.9803921568627451,0.977668135400707,0.9988757376337677,0.9776630855544857,0.8552814159993432,130
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",3,0.35294117647058826,0.7058823529411765,0.6932481923342024,0.9795892494929006,0.6792996296148013,0.8009049773755657,0.9672131147540983,0.9685981866302343,0.9984291412330549,0.9685849998974081,0.9141914129995712,135
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",4,0.3157894736842105,0.631578947368421,0.6193231807429647,0.9665728627928202,0.584373393560808,0.7803921568627451,0.943127962085308,0.9557742104478988,0.9977094952471148,0.9557673764097403,0.9545363929992163,131
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",5,0.6129032258064516,0.7916666666666666,0.7628880673362405,0.9837094466749734,0.7653751951236769,0.7815699658703071,0.950207468879668,0.9627562536702808,0.9980240418205546,0.9627499799987657,1.2280762800000957,178
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",1,0.782608695652174,0.6,0.8171812066424727,0.9889920669085542,0.8501372192286845,1.0,1.0,1.0,1.0,1.0,3.353140451999934,445
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",2,0.7435897435897436,0.5,0.7349485555863006,0.9741734387175777,0.6963698521882887,1.0,0.7027027027027027,0.9995676262042974,0.9999816980545032,0.9995674579577992,3.038824694000141,207
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",3,0.6470588235294118,0.4583333333333333,0.6538428630650399,0.97447599729547,0.6397231984338589,1.0,0.7978339350180506,0.9999999999999999,1.0,1.0,2.353893006000362,279
