params_C,params_degree,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
50.0,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.655,0.0974
50.0,3,0.1,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5263,0.1587
50.0,3,10,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.6873,0.4905
25.0,3,10,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.517,0.1626
50.0,3,auto,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5131,0.1386
25.0,3,auto,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5261,0.1205
1.0,3,10,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5192,0.1627
1.0,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.557,0.2452
0.1,3,0.1,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5197,0.1602
0.05,3,10,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.7787,0.5208
0.05,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5663,0.101
25.0,3,0.01,0.9985,0.0019,0.6124,0.0709,0.5865,0.0987,1.0,0.0001,0.931,0.0273,0.9906,0.004,0.5608,0.0675,0.9953,0.0012,0.6529,0.0762,0.6898,0.0749
0.05,4,auto,0.9554,0.0031,0.6122,0.0744,0.5771,0.1216,0.9962,0.0007,0.9173,0.014,0.6656,0.0105,0.3898,0.0947,0.9836,0.0037,0.7541,0.1008,0.4597,0.1216
25.0,2,auto,0.9954,0.0029,0.611,0.0679,0.5972,0.0837,0.9998,0.0002,0.9411,0.0167,0.9883,0.0114,0.5704,0.079,0.9945,0.0017,0.5847,0.0685,0.7252,0.4941
0.05,3,0.1,1.0,0.0,0.6108,0.077,0.5838,0.1069,1.0,0.0,0.9236,0.0203,0.9985,0.002,0.587,0.0783,1.0,0.0,0.6574,0.074,0.5242,0.1706
50.0,3,0.01,1.0,0.0,0.6108,0.077,0.5838,0.1069,1.0,0.0,0.9236,0.0203,0.9985,0.002,0.587,0.0783,1.0,0.0,0.6574,0.074,0.5189,0.1624
