params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.075,0.75,0.5,3,True,198.2,66.34154053080167,0.9939,0.0119,0.7432,0.0715,0.7307,0.0974,0.9997,0.0005,0.9805,0.0089,1.0,0.0,0.8212,0.0762,0.7067,0.1032,0.5366,0.047,1.0162,0.2882
0.05,1.0,0.75,3,False,100.4,31.43723906452346,0.9228,0.0328,0.7431,0.077,0.7338,0.0971,0.9956,0.0019,0.9796,0.008,0.7194,0.0712,0.4906,0.1028,0.9215,0.0352,0.7749,0.1131,0.6475,0.1159
0.125,0.75,1.0,3,False,39.8,18.14386948806676,0.9008,0.0547,0.7431,0.0747,0.7336,0.0939,0.9943,0.0032,0.9795,0.0084,0.7186,0.1067,0.4913,0.0591,0.8838,0.0577,0.7852,0.1203,0.4327,0.0444
0.075,0.5,0.5,3,False,72.4,13.66747965061591,0.9345,0.0283,0.743,0.0711,0.7325,0.093,0.9965,0.0015,0.9795,0.0071,0.7441,0.0629,0.4831,0.0879,0.9197,0.0428,0.7612,0.1055,0.5361,0.0567
0.05,0.5,0.75,3,True,275.6,36.678331477863054,0.9971,0.0027,0.7425,0.0781,0.7268,0.1068,0.9999,0.0001,0.9813,0.0085,1.0,0.0,0.816,0.084,0.6712,0.0222,0.5205,0.0367,1.5405,0.5544
0.05,0.0,1.0,4,True,257.2,27.35324478009876,1.0,0.0,0.7424,0.0754,0.7314,0.0983,1.0,0.0,0.9804,0.0085,1.0,0.0,0.7615,0.0923,0.8677,0.0832,0.568,0.0146,1.8946,0.4504
0.075,0.0,0.5,3,False,79.8,34.03968272472586,0.9343,0.0388,0.7423,0.0734,0.731,0.0955,0.9964,0.0021,0.9798,0.0079,0.7574,0.1116,0.4867,0.0705,0.9201,0.0532,0.8011,0.1275,0.5702,0.0876
0.05,1.0,0.5,3,False,114.6,35.64126821537079,0.9402,0.0266,0.7421,0.0838,0.7317,0.1034,0.9968,0.0015,0.98,0.008,0.7422,0.0752,0.4807,0.0863,0.9432,0.0308,0.7759,0.1253,0.7631,0.2109
0.075,0.5,0.75,3,False,72.2,20.06738647656939,0.9311,0.0454,0.742,0.0635,0.7322,0.0863,0.9962,0.0026,0.9796,0.007,0.7403,0.093,0.4785,0.0517,0.9308,0.0499,0.7973,0.0727,0.5349,0.0406
0.025,1.0,1.0,3,False,198.4,54.86620088907195,0.9214,0.0314,0.7419,0.0816,0.7317,0.1016,0.9956,0.0018,0.9798,0.0081,0.7017,0.0699,0.4959,0.0936,0.9208,0.035,0.7849,0.1009,1.2598,0.2991
0.1,1.0,1.0,5,True,90.8,15.303594349041013,1.0,0.0,0.7417,0.0689,0.7331,0.0892,1.0,0.0,0.9802,0.0071,1.0,0.0,0.7411,0.0862,0.8916,0.0637,0.5587,0.0203,0.9532,0.156
0.075,0.75,0.75,3,False,79.8,15.896540504147437,0.9445,0.0257,0.7417,0.0661,0.7311,0.0886,0.9969,0.0014,0.9798,0.0069,0.7602,0.068,0.5001,0.068,0.9331,0.0367,0.7863,0.0746,0.5709,0.0595
0.1,0.5,1.0,3,False,64.2,29.354727046934027,0.935,0.042,0.7417,0.0764,0.7294,0.0988,0.9964,0.0024,0.9804,0.008,0.7594,0.1249,0.5387,0.0895,0.9258,0.0465,0.7741,0.097,0.7597,0.2286
0.125,0.5,0.75,3,False,47.8,19.03155274800246,0.9313,0.0463,0.7415,0.056,0.7332,0.0761,0.9961,0.0027,0.9802,0.007,0.7613,0.1004,0.5136,0.0334,0.9166,0.0559,0.7951,0.0832,0.467,0.0676
0.125,0.1,0.1,5,False,37.4,7.436396977031283,0.9975,0.0033,0.7412,0.0723,0.7329,0.0895,0.9999,0.0002,0.9801,0.007,0.9481,0.0329,0.4913,0.1033,0.9951,0.0092,0.7778,0.0829,0.5326,0.0652
0.1,0.0,0.1,2,False,87.8,35.33694950048745,0.8913,0.0507,0.741,0.0877,0.7306,0.1097,0.9937,0.0028,0.9783,0.0092,0.6536,0.0792,0.4885,0.0881,0.8964,0.0407,0.7992,0.132,0.4992,0.0992
0.125,0.75,0.75,2,False,65.2,27.13300573102803,0.8775,0.0383,0.7409,0.0752,0.7307,0.0976,0.9929,0.0021,0.978,0.0089,0.6374,0.0618,0.4984,0.0684,0.8814,0.037,0.806,0.1352,0.4414,0.0787
0.05,0.75,0.1,3,True,259.8,28.621670111997304,0.9941,0.0069,0.7408,0.08,0.7268,0.1063,0.9997,0.0003,0.9799,0.0093,1.0,0.0,0.8084,0.058,0.6721,0.064,0.4979,0.0131,1.4756,0.3948
0.05,0.75,0.1,5,False,85.0,20.579115627256677,0.9962,0.0038,0.7408,0.0742,0.7331,0.0929,0.9998,0.0002,0.9793,0.0076,0.9405,0.0454,0.4783,0.1414,0.9902,0.01,0.7411,0.0912,0.8132,0.1184
0.075,0.75,0.5,3,False,72.6,14.170391667134682,0.9348,0.0273,0.7407,0.0701,0.7303,0.0923,0.9965,0.0014,0.9795,0.007,0.7405,0.0578,0.4808,0.0791,0.9197,0.042,0.7698,0.1059,0.5347,0.0487
0.075,0.75,1.0,3,True,226.6,30.237394067611053,0.9994,0.0008,0.7406,0.0628,0.7285,0.0894,1.0,0.0,0.9813,0.0086,1.0,0.0,0.7956,0.0791,0.7537,0.0598,0.5385,0.0274,1.3452,0.6316
0.025,0.1,0.5,3,False,205.2,47.850809815508875,0.9317,0.0275,0.7403,0.0857,0.73,0.1057,0.9962,0.0015,0.9796,0.0082,0.7248,0.0556,0.49,0.0986,0.9303,0.0405,0.7952,0.1301,1.1944,0.6358
0.05,0.75,0.75,3,False,107.0,34.285565475867536,0.9306,0.0344,0.7403,0.0792,0.7308,0.0994,0.9961,0.002,0.9801,0.0082,0.7279,0.0727,0.4785,0.0732,0.9354,0.0296,0.7664,0.0721,0.6729,0.1359
0.025,0.0,1.0,3,False,208.4,70.89992947810315,0.9247,0.0389,0.7403,0.0891,0.7291,0.1096,0.9958,0.0022,0.9796,0.0088,0.7152,0.0853,0.4848,0.1071,0.9227,0.037,0.7868,0.1125,1.3371,0.5275
0.025,0.5,0.75,3,False,209.0,60.778285596090974,0.929,0.0329,0.7402,0.0788,0.7296,0.0986,0.9961,0.0019,0.9796,0.0079,0.7207,0.0692,0.5024,0.099,0.9246,0.0369,0.7964,0.1219,0.9929,0.2406
0.05,0.5,0.5,3,True,335.0,43.94883388669147,0.9989,0.0015,0.7402,0.0735,0.7269,0.1004,1.0,0.0001,0.9807,0.0091,1.0,0.0,0.7985,0.0804,0.7669,0.1015,0.5331,0.0201,1.4535,0.1884
0.125,0.0,0.75,4,False,48.0,17.53567791675018,0.9775,0.0203,0.74,0.0562,0.7301,0.0813,0.9988,0.0011,0.9804,0.0074,0.8809,0.0879,0.5139,0.0649,0.9642,0.0296,0.802,0.1271,0.777,0.3702
0.1,0.1,1.0,3,False,63.6,27.72724292099739,0.9369,0.0428,0.7399,0.0709,0.7282,0.0942,0.9965,0.0024,0.9802,0.0077,0.7581,0.1121,0.5061,0.051,0.9285,0.0482,0.7834,0.1154,0.5142,0.1021
0.1,0.0,1.0,3,False,63.6,27.72724292099739,0.9369,0.0428,0.7399,0.0709,0.7282,0.0942,0.9965,0.0024,0.9802,0.0077,0.7581,0.1121,0.5061,0.051,0.9285,0.0482,0.7834,0.1154,0.7553,0.3805
